"Height","ELTime","Step","P1.psi","P2.psi","T3_oC"
40,265,8,0.5835724,0.5836289,22.25
40,267,8,0.5836203,0.5834884,22.25
40,269,8,0.5835258,0.5834065,22.25
40,271,8,0.5835674,0.5835672,22.25
40,273,8,0.5835593,0.5837986,22.25
40,275,8,0.5830596,0.5838795,22.25
45,283,9,0.6535914,0.6541671,22.25
45,285,9,0.6541195,0.6541706,22.25
45,287,9,0.6539149,0.6540727,22.25
45,289,9,0.6540176,0.6540227,22.25
45,291,9,0.6540661,0.6541457,22.25
45,293,9,0.6541028,0.6541828,22.25
45,295,9,0.6540968,0.6542974,22.25
45,297,9,0.6540741,0.6543124,22.25
45,299,9,0.6541533,0.6543483,22.25
45,301,9,0.6541677,0.6544771,22.25
45,303,9,0.6540342,0.6542671,22.25
45,305,9,0.6540353,0.6541883,22.25
45,307,9,0.6540475,0.6541591,22.25
45,309,9,0.6540802,0.6540153,22.25
45,311,9,0.6541353,0.654025,22.25
45,313,9,0.6541135,0.653895,22.25
45,315,9,0.6540777,0.6539781,22.25
45,317,9,0.6539519,0.6540961,22.25
45,319,9,0.6532554,0.6540921,22.3125
50,326,10,0.7247197,0.7250948,22.25
50,328,10,0.7251473,0.7249517,22.25
50,330,10,0.7252705,0.7251274,22.25
50,332,10,0.725192,0.7251227,22.25
50,334,10,0.7251944,0.7251197,22.25
50,336,10,0.7252101,0.7251742,22.25
50,338,10,0.7251881,0.7251513,22.25
50,340,10,0.7252691,0.7252328,22.3125
50,342,10,0.7253527,0.7253695,22.3125
50,344,10,0.7252428,0.7251157,22.25
50,346,10,0.7252154,0.7251202,22.25
50,348,10,0.7251893,0.7252832,22.3125
50,350,10,0.7251978,0.7252257,22.25
50,352,10,0.7252148,0.7251565,22.3125
50,354,10,0.7252939,0.7249584,22.3125
50,356,10,0.7252243,0.7252369,22.3125
50,358,10,0.7252243,0.7250863,22.3125
50,360,10,0.7247037,0.7248018,22.3125
