"PARAMETER1","OPERATOR","PEEK_tubing_ID","DEVICE","K_25","R_25"
"PROJECT_NAME","MU","B1","Flowmeter1",0.000106894627096056,0.168390128568624
"PROJECT_NAME","MU","B1","Flowmeter1",0.000106414475546367,0.169149919760278
"PROJECT_NAME","MU","B1","Flowmeter1",0.000103261239647716,0.174315164735659
