"Variable","P1 calibration","P2 calibration"
"adj.r.squared (R2 > 0.999)",0.999997505325253,0.999996521778103
"Intercept",-0.00147591066195798,-0.00149508122407258
"Slope",0.0710405358530191,0.0710702964986561
