"PARAMETER1","OPERATOR","Peek_tube_ID","DEVICE","K_25","R_25"
"PROJECT_NAME","MU","B1","Flowmeter1",0.000130488422777446,0.168390128568624
"PROJECT_NAME","MU","B1","Flowmeter1",0.000130046001156789,0.169149919760278
"PROJECT_NAME","MU","B1","Device1",0.00012657657000556,0.174315164735659
