1	1	0.3717078	0.3726709	22.0625
3	1	0.371879	0.3728859	22.0625
5	1	0.3719542	0.3727534	22.0625
7	1	0.371968	0.3728985	22.0625
9	1	0.3719226	0.3728612	22.0625
11	1	0.3719535	0.3729055	22.0625
13	1	0.3719491	0.372782	22.0625
15	1	0.3719518	0.372913	22.0625
17	1	0.3719611	0.3728765	22.0625
19	1	0.3719421	0.3728709	22.0625
21	1	0.3719496	0.3729131	22.0625
23	1	0.3719582	0.3729397	22.0625
25	1	0.3719562	0.3729607	22.0625
27	1	0.3719688	0.3729172	22.0625
29	1	0.3719666	0.372979	22.0625
31	1	0.372122	0.3728173	22.0625
33	1	0.3719292	0.3729269	22.0625
35	1	0.37197	0.3729572	22.0625
37	1	0.3719461	0.372923	22.0625
39	1	0.371958	0.3728993	22.0625
41	1	0.3719096	0.3730654	22.0625
43	1	0.3715069	0.3729666	22
53	2	0.3714092	0.2560349	22
55	2	0.3718674	0.2463562	22.0625
57	2	0.3719076	0.2397479	22.0625
59	2	0.3718541	0.2351639	22
61	2	0.3718931	0.2322471	22.0625
63	2	0.371883	0.2304024	22
65	2	0.3718775	0.2291978	22.0625
67	2	0.3718516	0.2284823	22
69	2	0.3718581	0.2281478	22
71	2	0.3718715	0.2279992	22
73	2	0.3718695	0.2279866	22
75	2	0.3718562	0.2278541	22
77	2	0.3718563	0.2274363	22
79	2	0.3718542	0.2273242	22
81	2	0.371855	0.2272481	22
83	2	0.3718462	0.2273211	22
85	2	0.3718406	0.2274194	22
87	2	0.371848	0.2274973	22
89	2	0.371863	0.2275096	22
91	2	0.3718417	0.2275113	22
93	2	0.3718433	0.2274824	22
95	2	0.3718748	0.2275764	22
97	2	0.3718297	0.227765	22
99	2	0.3718334	0.2277436	22
101	2	0.3718411	0.2277977	22
103	2	0.3718353	0.2278748	22
105	2	0.3718371	0.2277771	22
107	2	0.3718434	0.2277646	22
109	2	0.3718485	0.227843	22
111	2	0.3718557	0.2276265	22
113	2	0.371857	0.2276796	22
115	2	0.3718266	0.2279597	22
117	2	0.3718718	0.2282394	22
119	2	0.3718586	0.2282379	22
121	2	0.3718477	0.2281073	22
123	2	0.3718053	0.2279665	22
125	2	0.3718428	0.2277741	22
127	2	0.3718447	0.2279171	22
129	2	0.3718455	0.2280144	22
131	2	0.3718095	0.22806	22
133	2	0.3718583	0.228083	22
135	2	0.371842	0.228047	22
137	2	0.3718455	0.2282944	22
139	2	0.3718322	0.2282927	21.9375
141	2	0.3718242	0.2283433	21.9375
143	2	0.3717979	0.2284452	22
145	2	0.3718274	0.2284369	21.9375
147	2	0.3718182	0.2288006	21.9375
149	2	0.3718424	0.2287206	21.9375
151	2	0.3718586	0.2285263	21.9375
153	2	0.3718631	0.2284104	21.9375
155	2	0.3718577	0.2283778	21.9375
157	2	0.3718516	0.2284041	21.9375
159	2	0.3717103	0.228207	21.9375
161	2	0.3718346	0.2283203	21.9375
163	2	0.3718173	0.2284042	21.9375
165	2	0.3718156	0.2282597	21.9375
167	2	0.3718317	0.2281835	21.9375
169	2	0.3718419	0.2280718	21.9375
171	2	0.3718406	0.2281129	21.9375
173	2	0.3718293	0.2279833	21.9375
175	2	0.3718297	0.2279621	21.9375
177	2	0.3717005	0.2278986	21.9375
179	2	0.3718215	0.2279133	21.9375
181	2	0.3718028	0.2283343	21.9375
183	2	0.3718022	0.2286045	21.9375
185	2	0.3718485	0.2284339	21.9375
187	2	0.3718235	0.2282305	21.875
189	2	0.3718006	0.228334	21.875
191	2	0.3718417	0.2283072	21.9375
193	2	0.3718366	0.228376	21.9375
195	2	0.3718264	0.2284721	21.9375
197	2	0.3718139	0.2285202	21.9375
199	2	0.3717946	0.228443	21.9375
201	2	0.3718245	0.2283972	21.9375
203	2	0.371803	0.228559	21.875
205	2	0.371812	0.2286206	21.9375
207	2	0.3718406	0.228462	21.9375
209	2	0.3718165	0.2282741	21.9375
211	2	0.371829	0.2284077	21.875
213	2	0.3717973	0.2286306	21.9375
215	2	0.371797	0.2286249	21.9375
217	2	0.371805	0.2287018	21.9375
219	2	0.3718039	0.2287392	21.875
221	2	0.371808	0.2287532	21.875
223	2	0.3718171	0.2287347	21.875
225	2	0.3718113	0.2287748	21.875
227	2	0.3718205	0.2288277	21.875
229	2	0.371804	0.2288642	21.875
231	2	0.3718141	0.2287205	21.875
233	2	0.3718113	0.2286747	21.875
235	2	0.3718105	0.2286897	21.875
237	2	0.3718074	0.2289376	21.875
239	2	0.3718172	0.2290091	21.875
241	2	0.3718109	0.2287322	21.875
243	2	0.371809	0.2287231	21.875
245	2	0.3718194	0.2289502	21.875
247	2	0.3718057	0.2289117	21.875
249	2	0.3717854	0.2288749	21.875
251	2	0.3718034	0.2289813	21.875
253	2	0.371809	0.2291332	21.875
255	2	0.3718135	0.2290413	21.875
257	2	0.3717806	0.2290423	21.875
259	2	0.371779	0.2289949	21.875
